Year,Author,Novel
1987,Margaret Atwood*,The Handmaid's Tale
1987,Bob Shaw,The Ragged Astronauts
1987,Greg Bear,Eon
1987,Samuel R. Delany,Stars in My Pocket Like Grains of Sand
1987,Gwyneth Jones,Escape Plans
1987,Kim Stanley Robinson,The Memory of Whiteness
1987,Josephine Saxton,Queen of the States
1987,Lucius Shepard,Green Eyes
1988,George Turner*,The Sea and Summer
1988,Stanisław Lem,Fiasco
1988,Michael Bishop,Ancient of Days
1988,John Crowley,Aegypt
1988,Ken Grimwood,Replay
1988,Keith Roberts,Gráinne
1988,H. F. Saint,Memoirs of an Invisible Man
1989,Rachel Pollack*,Unquenchable Fire
1989,Brian Stableford,Empire of Fear
1989,Michael Bishop,"Philip K. Dick is Dead, Alas"
1989,Richard Grant,Rumours of Spring
1989,Gwyneth Jones,Kairos
1989,Lucius Shepard,Life During Wartime
1989,Ian Watson,Whores of Babylon
1990,Geoff Ryman*,The Child Garden
1990,Jonathan Carroll,A Child Across the Sky
1990,Lisa Goldstein,A Mask for the General
1990,Ian McDonald,Desolation Road
1990,Paul Park,Soldiers of Paradise
1990,Mike Resnick,Ivory
1990,David Zindell,Neverness
1991,Colin Greenland*,Take Back Plenty
1991,Mary Gentle,Rats and Gargoyles
1991,Iain M. Banks,Use of Weapons
1991,Misha Nogha,"Red Spider, White Web"
1991,K. W. Jeter,Farewell Horizontal
1991,Pat Murphy,"The City, Not Long After"
1992,Pat Cadigan*,Synners
1992,Paul J. McAuley,Eternal Light
1992,Stephen Baxter,Raft
1992,Gwyneth Jones,White Queen
1992,Richard Paul Russo,Subterranean Gallery
1992,Dan Simmons,The Hyperion Cantos
1993,Marge Piercy*,Body of Glass
1993,Kim Stanley Robinson,Red Mars
1993,Ian McDonald,"Hearts, Hands and Voices"
1993,Richard Paul Russo,Destroying Angel
1993,Michael Swanwick,Stations of the Tide
1993,Sue Thomas,Correspondence
1993,Lisa Tuttle,Lost Futures
1993,Connie Willis,Doomsday Book
1994,Jeff Noon*,Vurt
1994,John Barnes,A Million Open Doors
1994,Nicola Griffith,Ammonite
1994,Neal Stephenson,Snow Crash
1994,Michael Swanwick,The Iron Dragon's Daughter
1994,David Zindell,The Broken God
1995,Pat Cadigan*,Fools
1995,John Barnes,Mother of Storms
1995,Gwyneth Jones,North Wind
1995,Paul J. McAuley,Pasquale's Angel
1995,James K. Morrow,Towing Jehovah
1995,Kristine Kathryn Rusch,Alien Influences
1996,Paul J. McAuley*,Fairyland
1996,Ken MacLeod,The Star Fraction
1996,Patricia Anthony,Happy Policeman
1996,Stephen Baxter,The Time Ships
1996,Christopher Priest,The Prestige
1996,Neal Stephenson,The Diamond Age
1997,Amitav Ghosh*,The Calcutta Chromosome
1997,Stephen Baxter,Voyage
1997,Jack McDevitt,The Engines of God
1997,Kim Stanley Robinson,Blue Mars
1997,Sheri S. Tepper,Gibbon's Decline and Fall
1997,N. Lee Wood,Looking for the Mahdi
1998,Mary Doria Russell*,The Sparrow
1998,Stephen Baxter,Titan
1998,Elizabeth Hand,Glimmering
1998,James Lovegrove,Days
1998,Jeff Noon,Nymphomation
1998,Sheri S. Tepper,The Family Tree
1999,Tricia Sullivan*,Dreaming in Smoke
1999,John Barnes,Earth Made of Glass
1999,Peter Delacorte,Time on My Hands
1999,Ken MacLeod,The Cassini Division
1999,Christopher Priest,The Extremes
1999,Alison Sinclair,Cavalcade
2000,Bruce Sterling*,Distraction
2000,Stephen Baxter,Manifold: Time
2000,Kathleen Ann Goonan,The Bones of Time
2000,Justina Robson,Silver Screen
2000,Neal Stephenson,Cryptonomicon
2000,Vernor Vinge,A Deepness in the Sky
2001,China Miéville*,Perdido Street Station
2001,Octavia E. Butler,Parable of the Talents
2001,Mary Gentle,Ash: A Secret History
2001,Ken MacLeod,Cosmonaut Keep
2001,Alastair Reynolds,Revelation Space
2001,Adam Roberts,Salt
2002,Gwyneth Jones*,Bold As Love
2002,Jon Courtenay Grimwood,Pashazade
2002,Peter F. Hamilton,Fallen Dragon
2002,Paul J. McAuley,The Secret of Life
2002,Justina Robson,Mappa Mundi
2002,Connie Willis,Passage
2003,Christopher Priest*,The Separation
2003,David Brin,Kiln People
2003,M. John Harrison,Light
2003,China Miéville,The Scar
2003,Elizabeth Moon,Speed of Dark
2003,Kim Stanley Robinson,The Years of Rice and Salt
2004,Neal Stephenson*,Quicksilver
2004,Stephen Baxter,Coalescent
2004,Greg Bear,Darwin's Children
2004,William Gibson,Pattern Recognition
2004,Gwyneth Jones,Midnight Lamp
2004,Tricia Sullivan,Maul
2005,China Miéville*,Iron Council
2005,Ian McDonald,River of Gods
2005,David Mitchell,Cloud Atlas
2005,Richard K. Morgan,Market Forces
2005,Audrey Niffenegger,The Time Traveler's Wife
2005,Neal Stephenson,The System of the World
2006,Geoff Ryman*,Air
2006,Ken MacLeod,Learning the World
2006,Alastair Reynolds,Pushing Ice
2006,Kazuo Ishiguro,Never Let Me Go
2006,Charles Stross,Accelerando
2006,Liz Williams,Banner of Souls
2007,M. John Harrison*,Nova Swing
2007,Jon Courtenay Grimwood,End of the World Blues
2007,Lydia Millet,Oh Pure and Radiant Heart
2007,Jan Morris,Hav
2007,Adam Roberts,Gradisil
2007,Brian Stableford,Streaking
2008,Richard K. Morgan*,Black Man
2008,Matthew de Abaitua,The Red Men
2008,Sarah Hall,The Carhullan Army
2008,Steven Hall,The Raw Shark Texts
2008,Ken MacLeod,The Execution Channel
2008,Stephen Baxter,The H-Bomb Girl
2009,Ian R. MacLeod*,Song of Time
2009,Paul J. McAuley,The Quiet War]]
2009,Alastair Reynolds,House of Suns
2009,Neal Stephenson,Anathem
2009,Sheri S. Tepper,The Margarets
2009,Mark Wernham,Martin Martin’s on the Other Side
2010,China Miéville*,The City & the City
2010,Gwyneth Jones,Spirit: The Princess of Bois Dormant
2010,Adam Roberts,Yellow Blue Tibia
2010,Kim Stanley Robinson,Galileo's Dream
2010,Marcel Theroux,Far North
2010,Chris Wooding,Retribution Falls
2011,Lauren Beukes*,Zoo City
2011,Patrick Ness,Monsters of Men
2011,Ian McDonald,The Dervish House
2011,Richard Powers,Generosity: An Enhancement
2011,Tim Powers,Declare
2011,Tricia Sullivan,Lightborn
2012,Jane Rogers*,The Testament of Jessie Lamb
2012,Greg Bear,Hull Zero Three
2012,Drew Magary,The End Specialist
2012,China Miéville,Embassytown
2012,Charles Stross,Rule 34
2012,Sheri S. Tepper,The Waters Rising
2013,Chris Beckett*,Dark Eden
2013,Kim Stanley Robinson,2312
2013,Nick Harkaway,Angelmaker
2013,Peter Heller,The Dog Stars
2013,Ken MacLeod,Intrusion
2013,Adrian Barnes,Nod
2014,Ann Leckie*,Ancillary Justice
2014,Kameron Hurley,God's War
2014,Phillip Mann,The Disestablishment of Paradise
2014,Ramez Naam,Nexus
2014,Christopher Priest,The Adjacent
2014,James Smythe,The Machine
2015,Emily St. John Mandel*,Station Eleven
2015,Michel Faber,The Book of Strange New Things
2015,Dave Hutchinson,Europe in Autumn
2015,Claire North,The First Fifteen Lives of Harry August
2015,M. R. Carey,The Girl with All the Gifts
2015,Emmi Itäranta,Memory of Water
2016,Adrian Tchaikovsky*,Children of Time
2016,Becky Chambers,"The Long Way to a Small, Angry Planet"
2016,Dave Hutchinson,Europe at Midnight
2016,Nnedi Okorafor,The Book of Phoenix
2016,Iain Pears,Arcadia
2016,James Smythe,Way Down Dark
2017,Colson Whitehead*,The Underground Railroad
2017,Becky Chambers,A Closed and Common Orbit
2017,Yoon Ha Lee,Ninefox Gambit
2017,Emma Newman,After Atlas
2017,Tricia Sullivan,Occupy Me
2017,Lavie Tidhar,Central Station
2018,Anne Charnock*,Dreams Before the Start of Time
2018,Omar El Akkad,American War
2018,Jeff VanderMeer,Borne
2018,Jennie Melamed,Gather the Daughters
2018,C. Robert Cargill,Sea of Rust
2018,Jaroslav Kalfar,Spaceman of Bohemia
2019,Tade Thompson*,Rosewater
2019,Sue Burke,Semiosis
2019,Yoon Ha Lee,Revenant Gun
2019,Ahmed Saadawi,Frankenstein in Baghdad
2019,Simon Stålenhag,The Electric State
2019,Aliya Whiteley,The Loosening Skin
2020,Namwali Serpell*,The Old Drift
2020,Adrian Tchaikovsky,Cage of Souls
2020,Charlie Jane Anders,The City in the Middle of the Night
2020,David Wellington,The Last Astronaut
2020,Kameron Hurley,The Light Brigade
2020,Arkady Martine,A Memory Called Empire
2021,Laura Jean McKay*,The Animals in That Country
2021,Patience Agbabi,The Infinite
2021,Simon Jimenez,The Vanished Birds
2021,Hao Jingfang,Vagabonds
2021,R. B. Kelly,Edge of Heaven
2021,Valerie Valdes,Chilling Effect
2022,Harry Josephine Giles*,Deep Wheel Orcadia
2022,Arkady Martine,A Desolation Called Peace
2022,Kazuo Ishiguro,Klara and the Sun
2022,Courttia Newland,A River Called Time
2022,Aliya Whiteley,Skyward Inn
2022,Mercurio D. Rivera,Wergen: The Alien Love War
2023,Ned Beauman*,Venomous Lumpsucker
2023,E. J. Swift,The Coral Bones
2023,Tom Watson,Metronome
2023,Hervé Le Tellier,The Anomaly
2023,Aliette de Bodard,The Red Scholar’s Wake
2023,Lucy Kissick,Plutoshine
